"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","10th percentile absorbance units","90th percentile absorbance units","Mean absorbance units"
"Annual Average 2021","Community District","414","6","Rockaway and Broad Channel (CD14)","0.4","0.4","0.4"
"Annual Average 2021","Community District","311","6","Bensonhurst (CD11)","0.5","0.5","0.5"
"Annual Average 2021","Community District","313","6","Coney Island (CD13)","0.5","0.5","0.5"
"Annual Average 2021","Community District","315","6","Sheepshead Bay (CD15)","0.4","0.5","0.5"
"Annual Average 2021","Community District","410","6","South Ozone Park and Howard Beach (CD10)","0.5","0.5","0.5"
"Annual Average 2021","Community District","503","6","Tottenville and Great Kills (CD3)","0.4","0.5","0.5"
"Annual Average 2021","Community District","308","6","Crown Heights and Prospect Heights (CD8)","0.6","0.6","0.6"
"Annual Average 2021","Community District","309","6","South Crown Heights and Lefferts Gardens (CD9)","0.6","0.6","0.6"
"Annual Average 2021","Community District","312","6","Borough Park (CD12)","0.5","0.6","0.5"
"Annual Average 2021","Community District","314","6","Flatbush and Midwood (CD14)","0.5","0.6","0.5"
"Annual Average 2021","Community District","317","6","East Flatbush (CD17)","0.5","0.6","0.6"
"Annual Average 2021","Community District","318","6","Flatlands and Canarsie (CD18)","0.4","0.6","0.5"
"Annual Average 2021","Community District","406","6","Rego Park and Forest Hills (CD6)","0.5","0.6","0.6"
"Annual Average 2021","Community District","408","6","Hillcrest and Fresh Meadows (CD8)","0.5","0.6","0.5"
"Annual Average 2021","Community District","409","6","Kew Gardens and Woodhaven (CD9)","0.5","0.6","0.6"
"Annual Average 2021","Community District","411","6","Bayside and Little Neck (CD11)","0.5","0.6","0.5"
"Annual Average 2021","Community District","412","6","Jamaica and Hollis (CD12)","0.5","0.6","0.5"
"Annual Average 2021","Community District","413","6","Queens Village (CD13)","0.5","0.6","0.5"
"Annual Average 2021","Community District","501","6","St. George and Stapleton (CD1)","0.5","0.6","0.6"
"Annual Average 2021","Community District","502","6","South Beach and Willowbrook (CD2)","0.5","0.6","0.5"
"Annual Average 2021","Community District","107","6","Upper West Side (CD7)","0.7","0.7","0.7"
"Annual Average 2021","Community District","109","6","Morningside Heights and Hamilton Heights (CD9)","0.7","0.7","0.7"
"Annual Average 2021","Community District","110","6","Central Harlem (CD10)","0.7","0.7","0.7"
"Annual Average 2021","Community District","111","6","East Harlem (CD11)","0.7","0.7","0.7"
"Annual Average 2021","Community District","207","6","Kingsbridge Heights and Bedford (CD7)","0.6","0.7","0.7"
"Annual Average 2021","Community District","208","6","Riverdale and Fieldston (CD8)","0.6","0.7","0.7"
"Annual Average 2021","Community District","210","6","Throgs Neck and Co-op City (CD10)","0.6","0.7","0.7"
"Annual Average 2021","Community District","211","6","Morris Park and Bronxdale (CD11)","0.6","0.7","0.6"
"Annual Average 2021","Community District","212","6","Williamsbridge and Baychester (CD12)","0.6","0.7","0.7"
"Annual Average 2021","Community District","305","6","East New York and Starrett City (CD5)","0.5","0.7","0.6"
"Annual Average 2021","Community District","310","6","Bay Ridge and Dyker Heights (CD10)","0.5","0.7","0.6"
"Annual Average 2021","Community District","316","6","Brownsville (CD16)","0.5","0.7","0.6"
"Annual Average 2021","Community District","401","6","Long Island City and Astoria (CD1)","0.6","0.7","0.7"
"Annual Average 2021","Community District","403","6","Jackson Heights (CD3)","0.6","0.7","0.6"
"Annual Average 2021","Community District","404","6","Elmhurst and Corona (CD4)","0.6","0.7","0.6"
"Annual Average 2021","Community District","407","6","Flushing and Whitestone (CD7)","0.5","0.7","0.6"
"Annual Average 2021","Community District","108","6","Upper East Side (CD8)","0.6","0.8","0.7"
"Annual Average 2021","Community District","203","6","Morrisania and Crotona (CD3)","0.7","0.8","0.7"
"Annual Average 2021","Community District","206","6","Belmont and East Tremont (CD6)","0.7","0.8","0.7"
"Annual Average 2021","Community District","209","6","Parkchester and Soundview (CD9)","0.6","0.8","0.7"
"Annual Average 2021","Community District","302","6","Fort Greene and Brooklyn Heights (CD2)","0.6","0.8","0.7"
"Annual Average 2021","Community District","303","6","Bedford Stuyvesant (CD3)","0.6","0.8","0.6"
"Annual Average 2021","Community District","304","6","Bushwick (CD4)","0.5","0.8","0.6"
"Annual Average 2021","Community District","306","6","Park Slope and Carroll Gardens (CD6)","0.6","0.8","0.7"
"Annual Average 2021","Community District","101","6","Financial District (CD1)","0.8","0.9","0.8"
"Annual Average 2021","Community District","102","6","Greenwich Village and Soho (CD2)","0.8","0.9","0.9"
"Annual Average 2021","Community District","103","6","Lower East Side and Chinatown (CD3)","0.6","0.9","0.8"
"Annual Average 2021","Community District","106","6","Stuyvesant Town and Turtle Bay (CD6)","0.7","0.9","0.8"
"Annual Average 2021","Community District","201","6","Mott Haven and Melrose (CD1)","0.6","0.9","0.8"
"Annual Average 2021","Community District","204","6","Highbridge and Concourse (CD4)","0.7","0.9","0.7"
"Annual Average 2021","Community District","205","6","Fordham and University Heights (CD5)","0.7","0.9","0.8"
"Annual Average 2021","Community District","307","6","Sunset Park (CD7)","0.5","0.9","0.7"
"Annual Average 2021","Community District","104","6","Clinton and Chelsea (CD4)","0.8","1.0","0.9"
"Annual Average 2021","Community District","405","6","Ridgewood and Maspeth (CD5)","0.5","1.0","0.7"
"Annual Average 2021","Community District","105","6","Midtown (CD5)","0.9","1.1","1.0"
"Annual Average 2021","Community District","112","6","Washington Heights and Inwood (CD12)","0.6","1.1","0.8"
"Annual Average 2021","Community District","202","6","Hunts Point and Longwood (CD2)","0.7","1.1","0.8"
"Annual Average 2021","Community District","301","6","Greenpoint and Williamsburg (CD1)","0.7","1.1","0.9"
"Annual Average 2021","Community District","402","6","Woodside and Sunnyside (CD2)","0.6","1.2","0.9"
