"ADDRESS","BOROUGH","BIN","ZIP","CD","HPD_VIOLATIONS","DOB_VIOLATIONS","TOTAL_VIOLATIONS","DWELLING_UNITS","VIO_UNITS_RATIO"
"94A GREENWICH STREET","Manhattan","1001057","10006","101","16","1","17","4","4.3"
"160 CHAMBERS STREET","Manhattan","1001490","10007","101","13","0","13","4","3.3"
"13 HUDSON STREET","Manhattan","1001511","10013","101","39","2","41","4","10.3"
"111 READE STREET","Manhattan","1001586","10013","101","0","23","23","4","5.8"
"380 BROADWAY","Manhattan","1002317","10013","101","20","2","22","6","3.7"
"123 MULBERRY STREET","Manhattan","1002653","10013","102","32","0","32","6","5.3"
"47 MARKET STREET","Manhattan","1003303","10002","103","48","0","48","14","3.4"
"54 EAST BROADWAY","Manhattan","1003500","10002","103","54","13","67","8","8.4"
"105 EAST BROADWAY","Manhattan","1003535","10002","103","15","0","15","3","5"
"217 HENRY STREET","Manhattan","1003708","10002","103","19","0","19","6","3.2"
"42 CANAL STREET","Manhattan","1003802","10002","103","30","3","33","3","11"
"26 LUDLOW STREET","Manhattan","1003827","10002","103","32","0","32","10","3.2"
"36 LUDLOW STREET","Manhattan","1004020","10002","103","48","0","48","8","6"
"175 STANTON STREET","Manhattan","1004117","10002","103","65","0","65","8","8.1"
"97 CLINTON STREET","Manhattan","1004183","10002","103","94","1","95","9","10.6"
"298 EAST 3 STREET","Manhattan","1004360","10009","103","113","0","113","9","12.6"
"252 EAST 4 STREET","Manhattan","1004613","10009","103","40","0","40","12","3.3"
"129 AVENUE C","Manhattan","1004749","10009","103","27","1","28","8","3.5"
"504 EAST 6 STREET","Manhattan","1005045","10009","103","42","3","45","10","4.5"
"106 AVENUE B","Manhattan","1005095","10009","103","29","0","29","8","3.6"
"519 EAST 6 STREET","Manhattan","1005111","10009","103","31","0","31","10","3.1"
"73 ORCHARD STREET","Manhattan","1005450","10002","103","163","2","165","7","23.6"
"127 ALLEN STREET","Manhattan","1005492","10002","103","74","0","74","24","3.1"
"125 ALLEN STREET","Manhattan","1005493","10002","103","86","0","86","24","3.6"
"120 FORSYTH STREET","Manhattan","1005585","10002","103","54","2","56","18","3.1"
"135 CHRYSTIE STREET","Manhattan","1005666","10002","103","108","1","109","22","5"
"157 CHRYSTIE STREET","Manhattan","1005694","10002","103","36","0","36","6","6"
"91 EAST    7 STREET","Manhattan","1005814","10009","103","16","5","21","4","5.3"
"121 ST MARKS PLACE","Manhattan","1005882","10009","103","106","0","106","33","3.2"
"158 1 AVENUE","Manhattan","1005896","10009","103","100","7","107","11","9.7"
"219 AVENUE A","Manhattan","1006021","10009","103","41","58","99","11","9"
"107 1 AVENUE","Manhattan","1006286","10003","103","24","0","24","8","3"
"129 1 AVENUE","Manhattan","1006334","10003","103","22","3","25","8","3.1"
"331 EAST 9 STREET","Manhattan","1006422","10003","103","57","6","63","10","6.3"
"329 EAST 9 STREET","Manhattan","1006423","10003","103","18","0","18","5","3.6"
"351 EAST   12 STREET","Manhattan","1006498","10003","103","5","6","11","3","3.7"
"75 2 AVENUE","Manhattan","1006594","10003","103","15","47","62","4","15.5"
"131 2 AVENUE","Manhattan","1006677","10003","103","193","1","194","20","9.7"
"141 2 AVENUE","Manhattan","1006746","10003","103","56","6","62","20","3.1"
"115 ELIZABETH STREET","Manhattan","1006931","10013","102","31","2","33","10","3.3"
"113 ELIZABETH STREET","Manhattan","1006932","10013","102","37","2","39","10","3.9"
"375 BROOME STREET","Manhattan","1006984","10013","102","141","0","141","23","6.1"
"62 GRAND STREET","Manhattan","1007074","10013","102","13","1","14","3","4.7"
"174 ELIZABETH STREET","Manhattan","1007136","10012","102","16","0","16","4","4"
"18 R SPRING STREET","Manhattan","1007176","10012","102","23","3","26","5","5.2"
"442 BROOME STREET","Manhattan","1007254","10013","102","45","0","45","8","5.6"
"24 PRINCE STREET","Manhattan","1007481","10012","102","31","0","31","8","3.9"
"149 SPRING STREET","Manhattan","1007720","10012","102","30","8","38","7","5.4"
"262 ELIZABETH STREET","Manhattan","1007859","10012","102","33","0","33","9","3.7"
"51 EAST HOUSTON STREET","Manhattan","1007921","10012","102","25","0","25","8","3.1"
"4 BLEECKER STREET","Manhattan","1008199","10012","102","32","11","43","5","8.6"
"108 WEST HOUSTON STREET","Manhattan","1008252","10012","102","22","0","22","7","3.1"
"182 BLEECKER STREET","Manhattan","1008319","10012","102","13","1","14","4","3.5"
"43 WEST 8 STREET","Manhattan","1009446","10011","102","26","0","26","7","3.7"
"49 W 8TH ST","Manhattan","1009447","10011","102","34","0","34","6","5.7"
"54 WEST 10 STREET","Manhattan","1009461","10011","102","37","0","37","10","3.7"
"14 GAY STREET","Manhattan","1010282","10014","102","24","9","33","7","4.7"
"200 WEST 10 STREET","Manhattan","1011161","10014","102","15","2","17","4","4.3"
"69 HORATIO STREET","Manhattan","1012162","10014","102","17","0","17","4","4.3"
"406 WEST 25 STREET","Manhattan","1012805","10001","104","112","4","116","21","5.5"
"461 WEST   35 STREET","Manhattan","1012864","10001","104","54","2","56","14","4"
"454 WEST 36 STREET","Manhattan","1012879","10018","104","74","0","74","20","3.7"
"203 8 AVENUE","Manhattan","1013265","10011","104","6","31","37","12","3.1"
"352 WEST 39 STREET","Manhattan","1013653","10018","104","39","0","39","3","13"
"215 WEST   14 STREET","Manhattan","1013726","10011","104","59","3","62","18","3.4"
"152 7 AVENUE","Manhattan","1013980","10011","104","38","0","38","6","6.3"
"208 WEST 30 STREET","Manhattan","1014295","10001","105","183","38","221","6","36.8"
"404 8 AVENUE","Manhattan","1014333","10001","105","62","4","66","12","5.5"
"209 7 AVENUE","Manhattan","1014788","10011","104","18","0","18","5","3.6"
"763 6 AVENUE","Manhattan","1015015","10010","104","10","0","10","3","3.3"
"154 WEST 27 STREET","Manhattan","1015054","10001","105","73","4","77","12","6.4"
"136 WEST 28 STREET","Manhattan","1015092","10001","105","238","5","243","22","11"
"23 WEST 31 STREET","Manhattan","1015810","10001","105","19","1","20","4","5"
"45 EAST 28 STREET","Manhattan","1016906","10016","105","12","0","12","3","4"
"32 EAST 38 STREET","Manhattan","1017216","10016","106","25","2","27","6","4.5"
"110 EAST 20 STREET","Manhattan","1017942","10003","106","11","0","11","3","3.7"
"102 LEXINGTON AVENUE","Manhattan","1018168","10016","105","22","0","22","7","3.1"
"127 EAST 28 STREET","Manhattan","1018206","10016","105","20","1","21","7","3"
"145 EAST 35 STREET","Manhattan","1018905","10016","106","84","5","89","41","2.2"
"227 EAST 21 STREET","Manhattan","1019640","10010","106","72","8","80","6","13.3"
"627 2 AVENUE","Manhattan","1020155","10016","106","23","0","23","6","3.8"
"339 EAST 33 STREET","Manhattan","1021883","10016","106","25","0","25","7","3.6"
"325 WEST 42 STREET","Manhattan","1024941","10036","104","48","2","50","12","4.2"
"334 WEST 46 STREET","Manhattan","1025018","10036","104","31","0","31","3","10.3"
"330 WEST   47 STREET","Manhattan","1025065","10036","104","21","0","21","5","4.2"
"343 WEST 47 STREET","Manhattan","1025089","10036","104","0","40","40","4","10"
"318 WEST 49 STREET","Manhattan","1025149","10019","104","114","1","115","20","5.8"
"324 WEST 49 STREET","Manhattan","1025152","10019","104","45","10","55","17","3.2"
"328 WEST 49 STREET","Manhattan","1025154","10019","104","67","0","67","20","3.4"
"334 WEST 49 STREET","Manhattan","1025157","10019","104","64","5","69","20","3.5"
"338 WEST 49 STREET","Manhattan","1025159","10019","104","116","0","116","20","5.8"
"440 WEST 45 STREET","Manhattan","1026425","10036","104","79","5","84","17","4.9"
"410 WEST 46 STREET","Manhattan","1026461","10036","104","308","7","315","15","21"
"412 WEST 46 STREET","Manhattan","1026462","10036","104","13","34","47","15","3.1"
"460 WEST 46 STREET","Manhattan","1026472","10036","104","27","0","27","3","9"
"430 WEST 49 STREET","Manhattan","1026617","10019","104","48","1","49","10","4.9"
"432 WEST   49 STREET","Manhattan","1026618","10019","104","47","0","47","10","4.7"
"738 10 AVENUE","Manhattan","1026668","10019","104","32","11","43","6","7.2"
"853 9 AVENUE","Manhattan","1026854","10019","104","7","7","14","4","3.5"
"522 WEST 47 STREET","Manhattan","1026973","10036","104","65","0","65","10","6.5"
"114 WEST 71 STREET","Manhattan","1029766","10023","107","32","0","32","8","4"
"167 WEST 71 STREET","Manhattan","1029874","10023","107","93","0","93","21","4.4"
"260 COLUMBUS AVENUE","Manhattan","1029937","10023","107","49","8","57","9","6.3"
"169 WEST 76 STREET","Manhattan","1030171","10023","107","34","2","36","10","3.6"
"501 COLUMBUS AVENUE","Manhattan","1031291","10024","107","44","0","44","12","3.7"
"58 WEST 85 STREET","Manhattan","1031330","10024","107","13","0","13","4","3.3"
"68 WEST 85 STREET","Manhattan","1031334","10024","107","162","7","169","9","18.8"
"24 WEST 89 STREET","Manhattan","1031538","10024","107","7","64","71","8","8.9"
"44 WEST 89 STREET","Manhattan","1031540","10024","107","33","4","37","10","3.7"
"53 WEST 89 STREET","Manhattan","1031551","10024","107","33","10","43","10","4.3"
"33 WEST 89 STREET","Manhattan","1031558","10024","107","178","0","178","9","19.8"
"34 WEST 96 STREET","Manhattan","1031735","10025","107","27","0","27","9","3"
"460 COLUMBUS AVENUE","Manhattan","1032069","10024","107","29","0","29","3","9.7"
"137 WEST 83 STREET","Manhattan","1032117","10024","107","34","0","34","10","3.4"
"162 WEST 84 STREET","Manhattan","1032123","10024","107","28","0","28","5","5.6"
"142 WEST 87 STREET","Manhattan","1032214","10024","107","47","0","47","10","4.7"
"250 WEST 91 STREET","Manhattan","1033561","10024","107","122","2","124","14","8.9"
"698 AMSTERDAM AVENUE","Manhattan","1033649","10025","107","98","7","105","13","8.1"
"200 WEST 94 STREET","Manhattan","1033650","10025","107","126","12","138","13","10.6"
"317 WEST 88 STREET","Manhattan","1034063","10024","107","58","0","58","10","5.8"
"621 WEST END AVENUE","Manhattan","1034081","10024","107","27","0","27","8","3.4"
"58 EAST 56 STREET","Manhattan","1035774","10022","105","14","5","19","5","3.8"
"245 EAST 49 STREET","Manhattan","1038231","10017","106","0","13","13","3","4.3"
"981 2 AVENUE","Manhattan","1038476","10022","106","145","16","161","5","32.2"
"224 EAST 53 STREET","Manhattan","1038541","10022","106","11","0","11","3","3.7"
"840 2 AVENUE","Manhattan","1038763","10017","106","4","14","18","3","6"
"312 EAST 50 STREET","Manhattan","1039480","10022","106","39","0","39","4","9.8"
"312 EAST 51 STREET","Manhattan","1039640","10022","106","17","1","18","5","3.6"
"315 EAST 58 STREET","Manhattan","1040034","10022","106","33","4","37","10","3.7"
"43 EAST 63 STREET","Manhattan","1041034","10065","108","29","0","29","5","5.8"
"32 EAST 68 STREET","Manhattan","1041247","10065","108","31","0","31","10","3.1"
"164 EAST 61 STREET","Manhattan","1041933","10065","108","0","22","22","6","3.7"
"1433 2 AVENUE","Manhattan","1044030","10021","108","15","6","21","6","3.5"
"1496 2 AVENUE","Manhattan","1045225","10075","108","38","1","39","8","4.9"
"355 EAST   78 STREET","Manhattan","1045252","10075","108","25","3","28","8","3.5"
"1492 1 AVENUE","Manhattan","1046007","10075","108","22","0","22","7","3.1"
"1490 1 AVENUE","Manhattan","1046008","10075","108","18","0","18","6","3"
"23 EAST 81 STREET","Manhattan","1046666","10028","108","45","1","46","8","5.8"
"1566 3 AVENUE","Manhattan","1048057","10128","108","18","7","25","8","3.1"
"168 EAST   89 STREET","Manhattan","1048093","10128","108","21","0","21","4","5.3"
"1600 3 AVENUE","Manhattan","1048126","10128","108","107","3","110","34","3.2"
"203 EAST 82 STREET","Manhattan","1048684","10028","108","24","1","25","5","5"
"201 EAST 89 STREET","Manhattan","1048874","10128","108","47","23","70","14","5"
"1739 2 AVENUE","Manhattan","1048898","10128","108","93","1","94","8","11.8"
"325 EAST   92 STREET","Manhattan","1050251","10128","108","89","0","89","20","4.5"
"453 EAST 83 STREET","Manhattan","1050481","10028","108","82","1","83","8","10.4"
