"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","10th percentile ppb","90th percentile ppb","Mean ppb"
"Annual Average 2022","Community District","101","6","Financial District (CD1)","12.6","14.9","13.8"
"Annual Average 2022","Community District","102","6","Greenwich Village and Soho (CD2)","13.3","16.5","14.9"
"Annual Average 2022","Community District","103","6","Lower East Side and Chinatown (CD3)","10.7","12.7","11.7"
"Annual Average 2022","Community District","104","6","Clinton and Chelsea (CD4)","13.8","17.7","15.8"
"Annual Average 2022","Community District","105","6","Midtown (CD5)","14.3","17.6","16.0"
"Annual Average 2022","Community District","106","6","Stuyvesant Town and Turtle Bay (CD6)","10.3","16.1","14.0"
"Annual Average 2022","Community District","107","6","Upper West Side (CD7)","11.3","14.9","13.2"
"Annual Average 2022","Community District","108","6","Upper East Side (CD8)","11.4","15.3","13.3"
"Annual Average 2022","Community District","109","6","Morningside Heights and Hamilton Heights (CD9)","11.0","15.1","12.7"
"Annual Average 2022","Community District","110","6","Central Harlem (CD10)","10.5","12.2","11.2"
"Annual Average 2022","Community District","111","6","East Harlem (CD11)","10.9","12.8","12.0"
"Annual Average 2022","Community District","112","6","Washington Heights and Inwood (CD12)","8.7","20.2","12.6"
"Annual Average 2022","Community District","201","6","Mott Haven and Melrose (CD1)","10.7","21.2","14.6"
"Annual Average 2022","Community District","202","6","Hunts Point and Longwood (CD2)","11.9","19.8","15.5"
"Annual Average 2022","Community District","203","6","Morrisania and Crotona (CD3)","10.9","13.7","12.1"
"Annual Average 2022","Community District","204","6","Highbridge and Concourse (CD4)","10.2","14.1","11.8"
"Annual Average 2022","Community District","205","6","Fordham and University Heights (CD5)","9.9","14.3","11.7"
"Annual Average 2022","Community District","206","6","Belmont and East Tremont (CD6)","9.3","14.0","11.3"
"Annual Average 2022","Community District","207","6","Kingsbridge Heights and Bedford (CD7)","9.8","11.3","10.6"
"Annual Average 2022","Community District","208","6","Riverdale and Fieldston (CD8)","7.9","11.0","9.1"
"Annual Average 2022","Community District","209","6","Parkchester and Soundview (CD9)","8.9","14.5","11.3"
"Annual Average 2022","Community District","210","6","Throgs Neck and Co-op City (CD10)","7.8","12.3","10.1"
"Annual Average 2022","Community District","211","6","Morris Park and Bronxdale (CD11)","8.3","12.5","10.0"
"Annual Average 2022","Community District","212","6","Williamsbridge and Baychester (CD12)","8.2","10.4","9.2"
"Annual Average 2022","Community District","301","6","Greenpoint and Williamsburg (CD1)","13.7","20.8","16.4"
"Annual Average 2022","Community District","302","6","Fort Greene and Brooklyn Heights (CD2)","11.6","17.2","14.1"
"Annual Average 2022","Community District","303","6","Bedford Stuyvesant (CD3)","10.3","16.9","12.7"
"Annual Average 2022","Community District","304","6","Bushwick (CD4)","10.4","18.1","13.2"
"Annual Average 2022","Community District","305","6","East New York and Starrett City (CD5)","8.8","14.6","11.4"
"Annual Average 2022","Community District","306","6","Park Slope and Carroll Gardens (CD6)","10.4","17.6","13.8"
"Annual Average 2022","Community District","307","6","Sunset Park (CD7)","8.7","23.8","14.9"
"Annual Average 2022","Community District","308","6","Crown Heights and Prospect Heights (CD8)","11.2","14.2","12.6"
"Annual Average 2022","Community District","309","6","South Crown Heights and Lefferts Gardens (CD9)","9.9","11.4","10.6"
"Annual Average 2022","Community District","310","6","Bay Ridge and Dyker Heights (CD10)","8.3","12.9","10.1"
"Annual Average 2022","Community District","311","6","Bensonhurst (CD11)","8.4","9.8","9.1"
"Annual Average 2022","Community District","312","6","Borough Park (CD12)","9.5","11.2","10.3"
"Annual Average 2022","Community District","313","6","Coney Island (CD13)","7.9","9.9","9.0"
"Annual Average 2022","Community District","314","6","Flatbush and Midwood (CD14)","9.2","11.1","10.0"
"Annual Average 2022","Community District","315","6","Sheepshead Bay (CD15)","7.9","9.6","8.8"
"Annual Average 2022","Community District","316","6","Brownsville (CD16)","10.2","13.4","11.7"
"Annual Average 2022","Community District","317","6","East Flatbush (CD17)","9.0","11.9","10.6"
"Annual Average 2022","Community District","318","6","Flatlands and Canarsie (CD18)","7.6","11.1","9.1"
"Annual Average 2022","Community District","401","6","Long Island City and Astoria (CD1)","7.9","14.4","11.4"
"Annual Average 2022","Community District","402","6","Woodside and Sunnyside (CD2)","12.3","24.0","17.1"
"Annual Average 2022","Community District","403","6","Jackson Heights (CD3)","9.0","11.0","9.8"
"Annual Average 2022","Community District","404","6","Elmhurst and Corona (CD4)","9.8","12.6","11.2"
"Annual Average 2022","Community District","405","6","Ridgewood and Maspeth (CD5)","8.3","19.1","12.9"
"Annual Average 2022","Community District","406","6","Rego Park and Forest Hills (CD6)","8.5","12.0","10.0"
"Annual Average 2022","Community District","407","6","Flushing and Whitestone (CD7)","8.0","12.0","9.6"
"Annual Average 2022","Community District","408","6","Hillcrest and Fresh Meadows (CD8)","8.3","10.7","9.2"
"Annual Average 2022","Community District","409","6","Kew Gardens and Woodhaven (CD9)","8.9","12.3","10.4"
"Annual Average 2022","Community District","410","6","South Ozone Park and Howard Beach (CD10)","7.9","10.0","8.8"
"Annual Average 2022","Community District","411","6","Bayside and Little Neck (CD11)","7.9","10.7","9.0"
"Annual Average 2022","Community District","412","6","Jamaica and Hollis (CD12)","8.3","13.6","10.1"
"Annual Average 2022","Community District","413","6","Queens Village (CD13)","8.1","12.5","9.7"
"Annual Average 2022","Community District","414","6","Rockaway and Broad Channel (CD14)","7.0","9.1","8.0"
"Annual Average 2022","Community District","501","6","St. George and Stapleton (CD1)","7.6","9.8","8.6"
"Annual Average 2022","Community District","502","6","South Beach and Willowbrook (CD2)","6.7","9.0","7.7"
"Annual Average 2022","Community District","503","6","Tottenville and Great Kills (CD3)","6.5","7.4","7.0"
