Zip Code,#2 Fuel Oil with 0% biodiesel (gallons),#2 Fuel Oil with 2% biodiesel (gallons),#2 Fuel Oil with 5% biodiesel (gallons),#2 Fuel Oil with 6% biodiesel (gallons),#2 Fuel Oil with 10% biodiesel (gallons),#2 Fuel Oil with 17% biodiesel (gallons),Total #2 Fuel Oil without Biodiesel Component,Total Biodiesel Blended with #2 Fuel Oil,Total Biodiesel Blended with #2 Fuel Oil 1,#4 Fuel Oil with 2% biodiesel (gallons),#4 Fuel Oil with 5% biodiesel (gallons),#4 Fuel Oil with 6% biodiesel (gallons),Total #4 Fuel Oil without Biodiesel Component,Total Biodiesel Blended with #4 Fuel Oil
10000,0,425.7068636,74.58984758,203.5432477,0,11084,9879.103734,1908.74,3884.56,0,0,0,0,0
10001,0,104897.4781,1276470.118,1466960.737,53004,1145,2744753.584,159861.75,708384.87,28233.95679,878615.3,595182.366,1421825.237,80206.3861
10002,1025.4,44135.18597,114240.5072,819264.8591,228196.1,9542,1140772.482,81332.57,308346.87,1900.232669,31878,67313.14398,95420.68336,5670.693292
10003,0,109173.6697,799006.767,1997289.213,88278.1,6882,2846575.635,176447.61,741284.04,11745.99101,334085.9,279048.641,591198.3987,33682.13328
10004,0,3759.136785,28112.65379,72218.85629,0,0,98276.70007,5813.95,25469.29,7764.033649,24453,380825.4651,388815.0402,24227.45858
10005,0,2177.914624,54587.30136,3541.326447,0,0,57321.13949,2985.4,14449.63,544.4126962,28350,68.05585606,27529.99695,1432.471605
10006,0,1309.02172,22231.45907,12706.38263,0,0,34346.72708,1900.14,8769.48,542.167834,28233.1,67.77523068,27416.47819,1426.564871
10007,0,6571.536687,131992.8259,37860.74922,0,5541,172021.4249,9944.69,44348.97,1444.393134,46449,28947.56047,72752.76211,4088.191491
10008,0,96.01832903,16.82376569,2545.909249,0,0,2503.235234,155.52,656.16,0,0,0,0,0
10009,0,45325.15648,224641.3068,890712.4197,2300,58159,1172573.539,82481.84,310213.05,1018.295623,53027.2,127.2949379,51493.42695,2679.363609
10010,0,55918.67821,676090.3412,808944.4009,0,7437,1463666.576,84723.84,377457.16,9864.529537,192327.1,322596.1435,495618.3589,29169.4142
10011,0,96803.11372,1142608.871,1318817.578,61463.1,35852,2525057.873,155424.19,655448.29,19051.07996,310125.5,684330.8344,956560.2677,56947.14666
10012,0,40208.03247,262125.8145,769562.0689,6899.4,26382.7,1046466.041,66895.97,274552.38,3469.544994,76119,104989.4203,174403.2592,10174.70612
10013,0,46667.896,573088.1737,621244.1239,37374.7,13161,1219258.64,72977.25,316688.98,2324.97635,0,121362.5403,116359.2647,7328.251944
10014,0,31219.08072,258240.5233,535456.1809,16269.8,19957,813111.1363,51346.45,213305.68,4934.996434,132035.3,125568.9133,248304.61,14234.59972
10015,0,1119.228051,196.1045424,29676.13657,0,0,29178.71118,1812.76,7648.5,643.7147242,0,33601.56939,32216.31565,2028.968458
10016,0,106318.8143,705218.056,2057001.621,670.3,68618,2770203.645,173768.55,726580.2,30361.46015,959260,625592.2206,1529107.918,86105.76244
10017,0,58310.16064,943051.5627,597320.3405,0,12583,1527644.432,86966.23,391826,12467.84192,286115,364699.778,626845.5264,36437.09352
10018,0,61654.2486,952951.1941,683598.1495,0,9005,1615781.209,91427.38,414583.63,26551.90783,697086.9,688908.6967,1335827.6,76719.90496
10019,0,96160.48609,1147616.774,1275270.519,135948.9,4960,2511883.109,150804.57,652634.99,15789.21064,263798.7,560389.7751,792848.5801,47129.10572
10020,0,238.5325737,41.79427169,6324.649593,0,0,6218.637098,386.34,1630.07,0,0,0,0,0
10021,0,115980.7739,1434381.968,1529354.794,1041,57455,3021181.044,190331.19,779907.66,27150.79636,1056235.7,361021.5624,1369391.964,75016.09467
10022,0,44070.08554,380362.0006,751069.8326,23615.6,11378,1149081.527,71220.89,299075.82,20661.32213,888312.2,190197.9273,1042930.737,56240.71208
10023,0,94291.12445,1036267.235,1290288.421,2783,39737,2443263.261,167661.72,626802.73,35058.68554,1158239.6,671805.3106,1766182.124,98921.47235
